Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Purchase,Collection Purchase - Detail,Collection Lyrics,Collection MoFi Sleeve,Collection 1st Play,Collection 2nd Play,Collection 3rd Play,Collection 4th Play,Collection 5th Play,Collection 6th Play,Collection 7th Play,Collection 8th Play,Collection 9th Play,Collection 10th Play,Collection Purchase Date,Collection Color,api_url,genre,style,num_songs,format,format_qty,community_have,community_want,rating_avg,rating_count,date_played,year,runtime
FD-052,Vagabon,Infinite Worlds,Father/Daughter Records,"LP, Album, Ltd, RP, Blu",NA,2017,10950442,Vinyl LPs (New),2/9/2018 16:06,Mint (M),Mint (M),Amazon,NA,No,Yes,2/9/2018,4/29/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue,https://api.discogs.com/releases/10950442,Rock,Alternative Rock,8,Vinyl,1,90,36,4,5,4/29/2022,2017,28
"ZOD007, BB145LP",La Femme (4),Paradigmes,"Disque Pointu, Born Bad Records","2xLP, Album",NA,2021,18101710,Vinyl LPs (New),5/28/2021 8:22,Mint (M),Mint (M),Amazon,Gift,Yes,Yes x2,5/28/2021,5/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/18101710,Electronic,Indie Rock,15,Vinyl,2,2129,458,4.56,117,5/1/2022,2021,54
"4AD0296T, none",Tkay Maidza,"Last Year Was Weird, Vol. 2","4AD, Dew Process","12"", EP",NA,2021,18476230,Vinyl LPs (New),12/21/2021 6:47,Mint (M),Mint (M),eBay,get_importcds,No,Yes,12/21/2021,12/23/2021,5/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/18476230,Hip Hop,Pop Rap,8,Vinyl,1,611,108,4.72,29,5/1/2022,2020,27
19439800121,Nathy Peluso,Calambre,Sony Music,"LP, Album, Ora",NA,2020,16005290,Vinyl LPs (New),5/21/2021 12:22,Mint (M),Mint (M),eBay,NA,Yes,Yes,5/21/2021,12/23/2021,5/1/2022,3/17/2023,NA,NA,NA,NA,NA,NA,NA,Orange,https://api.discogs.com/releases/16005290,Hip Hop,Contemporary R&B,12,Vinyl,1,673,292,4.52,48,5/1/2022,2020,40.5
FP1756-1,El-P,Fantastic Damage,Fat Possum Records,"2xLP, Album, Ltd, RE, Vio",NA,2022,22929236,Vinyl LPs (New),5/2/2022 15:11,Mint (M),Mint (M),Label,Fat Possum Records,NA,Yes x2,5/2/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White, White",https://api.discogs.com/releases/22929236,Hip Hop,,16,Vinyl,2,1379,284,4.78,65,5/2/2022,2002,70
!K7202LP,Matthew Herbert,Scale,"!K7 Records, Accidental Records","2xLP, Album",4,2006,695085,Vinyl LPs (New),2/18/2015 2:56,Mint (M),Near Mint (NM or M-),Other,Discogs,NA,No x2,2/17/2015,4/12/2021,5/2/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/695085,Electronic,Deep House,11,Vinyl,2,624,327,4.6,63,5/2/2022,2006,51.5
GNELP-125,The Genius - GZA,Liquid Swords (Instrumental),Not On Label,"2xLP, Album, M/Print, Promo, Unofficial",NA,0,1353533,"Vinyl 12"" Singles",5/12/2016 23:21,NA,NA,"Other
",Rabbitfoot Records,NA,NA,5/4/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1353533,Hip Hop,Instrumental,11,Vinyl,2,298,528,4.55,31,5/4/2022,1995,55.3
IDLP-190,Inspectah Deck,Uncontrolled Substance (Instrumentals),Not On Label,"LP, Unofficial",NA,0,2009482,"Vinyl 12"" Singles",5/12/2016 22:38,NA,NA,"Other
",Rabbitfoot Records,NA,NA,5/4/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/2009482,Hip Hop,Instrumental,11,Vinyl,1,42,62,4.5,4,5/4/2022,1999,65
19439879911,Bon Entendeur,Minuit,"Columbia, Sony Music","2xLP, Album",NA,2021,19799905,Vinyl LPs (New),5/6/2022 16:42,Mint (M),Mint (M),eBay,get_importcds,NA,Yes x2,5/6/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/19799905,Electronic,Electro,16,Vinyl,2,315,37,4.47,17,5/6/2022,2021,58
ERATP109LP,Rival Consoles,Persona,Erased Tapes Records,"2xLP, Album",NA,2018,11882246,Vinyl LPs (New),5/6/2022 16:43,Mint (M),Mint (M),eBay,get_importcds,NA,Yes x2,5/6/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/11882246,Electronic,Ambient,12,Vinyl,2,1101,476,4.61,107,5/6/2022,2018,58.45
FLO0008LP,Sault,Nine,Forever Living Originals,"LP, Album",NA,2021,20408065,Vinyl LPs (New),5/6/2022 16:22,Mint (M),Mint (M),eBay,get_importcds,NA,Yes,5/6/2022,11/7/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/20408065,Funk / Soul,Soul,10,Vinyl,1,5396,590,4.5,297,5/6/2022,2021,34
